PRODUK,JENIS_PEKERJAAN,TARGET,,,
KN0076,WASHER,200,,,
KN0076,A110T,800,,,
KN0076,WASHER,,,,
,,,,,
KN0077,SURFACE GRINDING,160a,,,
KN0077,BUBUT STEP 1,150,,,
KN0077,ROUGHING,200,,,
KN0077,FINISHING,140,,,
KN0077,DRILL,,,,
KN0077,PRESS PIN DOWEL,,,,
,,,,,
KN0078RH,,,,,
KN0078LH,PRESS,,,,
KN0078LH,FACING,,,,
KN0078LH,FACING CHAMFER,,,,
KN0078LH,ANTIRUST,,,,
,,,,,
KN0079,PRESS,,,,
KN0079,FACING 95,,,,
KN0079,FACING CHAMFER,,,,
KN0079,HOLE DIA 10,,,,
KN0079,ANTI RUST,,,,
,,,,,
KN0080,PRESS,3780,,,
KN0080,MILLING,,,,
KN0080,,,,,
,,,,,
KN0081A,PRESS,5600,,,
KN0081A,FORMING,,,,
KN0081A,BENDING,,,,
KN0081A,FACING,,,,
KN0081A,WELDING SPACER,300,,,
KN0081A,WELDING NUT,900,,,
KN0081A,SIKAT SPATTER,300,,,
,,,,,
KN0081B,PRESS,5600,,,
KN0081B,BENDING-1,,,,
KN0081B,BENDING-2,,,,
,,,,,
KN0082,PRESS,3780,,,
KN0082,SANDER,,,,
KN0082,BENDING,,,,
KN0082,WELDING,700,,,
,,,,,
KN0083,PRESS,,,,
KN0083,PIERCING-1,,,,
KN0083,BENDING,,,,
KN0083,FORMING,,,,
KN0083,PIERCING-2,,,,
,,,,,
KN0084,MILLING,,,,
,,,,,
KN0085,PRESS,15000,,,
KN0085,SANDER,,,,
KN0085,HOLE CHAMFER,,target rotary 1000 pcs,,target machining 400 pcs
,,,,,
KN0086,PRESS,3780,,,
KN0086,MILLING,,,,
KN0086,DEBURRING T-SLOT,,,,
KN0086,HOLE CHAMFER,,,,
,,,,,
KN0087,PRESS,3500,,,
KN0087,CHAMFER OD,1075,,,
KN0087,CHAMFER ID,,,,
KN0087,CHAMFER OVAL,,,,
KN0087,SANDER,6300,,,
KN0087,BRUSH,2800,,,
KN0087,ANTIRUST,,,,
KN0087,ROUGHING,700,,,
,,,,,
KN0088,PRESS,3500,,,
KN0088,CHAMFER OD,1075,,,
KN0088,CHAMFER ID,,,,
KN0088,CHAMFER OVAL,,,,
KN0088,SANDER,6300,,,
KN0088,BRUSH,2800,,,
KN0088,ANTIRUST,,,,
KN0088,ROUGHING,700,,,
,,,,,
KN0089,PRESS,,,,
KN0089,SANDER,3150,,,
KN0089,CHAMFER,,,,
KN0089,TAPPING,0,,,
,,,,,
KN0090,,,,,
IMPROVEMENT,,,,,
REWORK,,,,,
